Territorialidades;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Educação 1991;IDHM Educação 2000;IDHM Educação 2010
Matinhos (PR);0,522;0,635;0,743;0,303;0,469;0,662
Mauá (SP);0,523;0,664;0,766;0,294;0,555;0,733
Mimoso de Goiás (GO);0,331;0,445;0,665;0,115;0,231;0,543
Mineiros (GO);0,479;0,59;0,718;0,228;0,378;0,584
Mirandiba (PE);0,362;0,445;0,591;0,185;0,287;0,525
Morro Redondo (RS);0,437;0,572;0,702;0,204;0,355;0,557
Natal (RN);0,572;0,664;0,763;0,407;0,547;0,694
Nova Floresta (PB);0,314;0,423;0,601;0,143;0,247;0,498
Nova Venécia (ES);0,459;0,627;0,712;0,247;0,476;0,621
Novo Oriente de Minas (MG);0,232;0,389;0,555;0,048;0,186;0,4
Ouvidor (GO);0,486;0,636;0,747;0,28;0,516;0,697
Padre Bernardo (GO);0,346;0,484;0,651;0,124;0,261;0,515
Palmas (TO);0,439;0,654;0,788;0,198;0,508;0,749
Paquetá (PI);0,197;0,284;0,509;0,042;0,092;0,348
Paranaguá (PR);0,512;0,645;0,75;0,291;0,481;0,676
Parnaíba (PI);0,414;0,546;0,687;0,229;0,381;0,604
Pavão (MG);0,295;0,471;0,627;0,08;0,267;0,507
Pedra Preta (MT);0,407;0,565;0,679;0,159;0,385;0,573
Pelotas (RS);0,558;0,66;0,739;0,354;0,506;0,632
Perolândia (GO);0,373;0,551;0,676;0,144;0,364;0,538
Picos (PI);0,427;0,545;0,698;0,225;0,37;0,621
Planaltina (GO);0,384;0,508;0,669;0,156;0,286;0,566
Pontal do Paraná (PR);0,409;0,622;0,738;0,17;0,447;0,655
Porto Alegre (RS);0,66;0,744;0,805;0,494;0,612;0,702
Porto Velho (RO);0,495;0,613;0,736;0,29;0,469;0,638
Porto Walter (AC);0,176;0,342;0,532;0,026;0,138;0,397
Poxoréo (MT);0,396;0,554;0,678;0,159;0,357;0,573
Recife (PE);0,576;0,66;0,772;0,409;0,538;0,698
Rio Branco (AC);0,485;0,591;0,727;0,259;0,423;0,661
Rio Claro (RJ);0,439;0,584;0,683;0,208;0,419;0,567
Rio Crespo (RO);0,259;0,441;0,643;0,065;0,225;0,513
Rio de Janeiro (RJ);0,639;0,716;0,799;0,483;0,607;0,719
Rio Grande da Serra (SP);0,498;0,625;0,749;0,274;0,502;0,745
Rodrigues Alves (AC);0,245;0,399;0,567;0,061;0,22;0,477
Rondon do Pará (PA);0,392;0,461;0,602;0,166;0,239;0,457
Rondonópolis (MT);0,48;0,638;0,755;0,256;0,492;0,698
Salgueiro (PE);0,404;0,531;0,669;0,198;0,351;0,58
Salvador (BA);0,563;0,654;0,759;0,383;0,525;0,679
Santa Carmem (MT);0,484;0,579;0,715;0,232;0,361;0,628
Santa Cruz da Baixa Verde (PE);0,32;0,474;0,612;0,142;0,316;0,523
Santa Isabel do Pará (PA);0,447;0,535;0,659;0,255;0,38;0,576
Santa Luzia do Pará (PA);0,274;0,362;0,546;0,084;0,169;0,424
Santa Luz (PI);0,328;0,414;0,588;0,165;0,242;0,49
Santa Maria (RS);0,609;0,715;0,784;0,428;0,591;0,715
Santana do Cariri (CE);0,302;0,424;0,612;0,116;0,256;0,557
Santarém (PA);0,421;0,555;0,691;0,222;0,397;0,648
Santo André (SP);0,63;0,738;0,815;0,443;0,65;0,769
Santo Augusto (RS);0,48;0,627;0,739;0,256;0,48;0,637
São Bento (PB);0,292;0,424;0,58;0,081;0,201;0,424
São Desidério (BA);0,272;0,398;0,579;0,077;0,199;0,449
São Felipe (BA);0,293;0,464;0,616;0,091;0,271;0,525
São Francisco do Brejão (MA);0,256;0,424;0,584;0,058;0,242;0,479
São Francisco do Pará (PA);0,371;0,476;0,608;0,16;0,28;0,502
São Gabriel da Palha (ES);0,448;0,617;0,709;0,245;0,472;0,578
São João (PE);0,278;0,398;0,57;0,101;0,209;0,426
São José do Rio Claro (MT);0,443;0,562;0,682;0,187;0,352;0,548
São Lourenço do Sul (RS);0,469;0,589;0,687;0,227;0,396;0,528
São Luís (MA);0,562;0,658;0,768;0,43;0,582;0,752
São Martinho da Serra (RS);0,369;0,541;0,652;0,13;0,305;0,496
São Mateus (ES);0,47;0,61;0,735;0,251;0,458;0,655
São Paulo de Olivença (AM);0,269;0,324;0,521;0,095;0,125;0,386
São Paulo (SP);0,626;0,733;0,805;0,421;0,614;0,725
São Sebastião (AL);0,246;0,351;0,549;0,076;0,149;0,432
Serra Talhada (PE);0,401;0,499;0,661;0,196;0,305;0,571
Sinop (MT);0,5;0,626;0,754;0,232;0,43;0,682
Sorocaba (SP);0,579;0,721;0,798;0,376;0,615;0,762
Sorriso (MT);0,517;0,664;0,744;0,286;0,478;0,635
Suzano (SP);0,529;0,662;0,765;0,309;0,557;0,723
Tabatinga (AM);0,333;0,47;0,616;0,109;0,254;0,505
Tapauá (AM);0,151;0,293;0,502;0,017;0,104;0,355
Taquaruçu do Sul (RS);0,435;0,588;0,739;0,189;0,421;0,633
Tarauacá (AC);0,274;0,386;0,539;0,075;0,183;0,392
Teófilo Otoni (MG);0,44;0,589;0,701;0,217;0,431;0,598
Teresina (PI);0,509;0,62;0,751;0,308;0,488;0,707
Toritama (PE);0,448;0,481;0,618;0,222;0,245;0,452
Viseu (PA);0,237;0,353;0,515;0,057;0,151;0,366
Vitória da Conquista (BA);0,409;0,538;0,678;0,214;0,362;0,581
Vitória (ES);0,644;0,759;0,845;0,495;0,7;0,805
Volta Redonda (RJ);0,58;0,682;0,771;0,405;0,58;0,72
Votorantim (SP);0,527;0,688;0,767;0,313;0,59;0,747
zema;0,400;0,526;0,667;0,201;0,355;0,568
